Species,Pathogen,Parameter,FunctionType,q,Tmin,Tmax,Author,Year,Notes
Aedes albopictus,NA,EFD,AltQuadratic,1.53E-01,8.61,-97.7,Mordecai,2013,"column labels: q->q, Tmin->r, Tmax->s"
Anopheles spp.,NA,p,AltQuadratic,0.000828,0.0367,0.522,Mordecai,2013,"column labels: q->q, Tmin->r, Tmax->s"
Anopheles spp.,NA,pEA,AltQuadratic,0.00924,0.453,-4.77,Mordecai,2013,"column labels: q->q, Tmin->r, Tmax->s"
Anopheles spp.,NA,mu,AltQuadratic,1.10E-03,4.90E-02,0.609,Mordecai,2019,"computed from ""alternate quadratic"". Need to convert confidence intervals."
Anopheles spp.,NA,BitingRate,Briere,2.03E-04,11.7,42.3,Mordecai,2013,
Anopheles spp.,NA,MDR,Briere,1.11E-04,14.7,34,Mordecai,2013,
Anopheles spp.,NA,PDR,Briere,1.11E-04,14.7,34.4,Mordecai,2013,
Aedes aegypti,DENV,b,Briere,8.49E-04,1.71E+01,3.58E+01,Mordecai,2017,
Aedes albopictus,DENV,b,Briere,7.35E-04,1.58E+01,3.64E+01,Mordecai,2017,
Aedes spp.,DENV,b,Briere,9.86E-04,1.21E+01,3.28E+01,Mordecai,2017,
Aedes aegypti,NA,BitingRate,Briere,2.02E-04,1.34E+01,4.01E+01,Mordecai,2017,
Aedes albopictus,NA,BitingRate,Briere,1.93E-04,1.03E+01,3.83E+01,Mordecai,2017,
Aedes spp.,NA,BitingRate,Briere,2.71E-04,1.47E+01,4.10E+01,Mordecai,2017,
Aedes aegypti,DENV,c,Briere,4.91E-04,1.22E+01,3.75E+01,Mordecai,2017,
Aedes albopictus,DENV,c,Briere,4.39E-04,3.62E+00,3.68E+01,Mordecai,2017,
Aedes spp.,DENV,c,Briere,5.23E-04,1.51E+00,3.47E+01,Mordecai,2017,
Aedes aegypti,NA,EFD,Briere,8.56E-03,1.46E+01,3.46E+01,Mordecai,2017,
Aedes spp.,NA,EFD,Briere,2.08E-02,1.41E+01,3.20E+01,Mordecai,2017,
Aedes aegypti,NA,MDR,Briere,7.86E-05,1.14E+01,3.92E+01,Mordecai,2017,
Aedes albopictus,NA,MDR,Briere,6.38E-05,8.60E+00,3.97E+01,Mordecai,2017,
Aedes spp.,NA,MDR,Briere,1.49E-04,1.51E+01,3.77E+01,Mordecai,2017,
Aedes aegypti,DENV,PDR,Briere,6.65E-05,1.07E+01,4.59E+01,Mordecai,2017,
Aedes albopictus,DENV,PDR,Briere,1.09E-04,1.04E+01,4.31E+01,Mordecai,2017,
Aedes spp.,WNV,PDR,Briere,1.04E-04,1.15E+01,3.90E+01,Mordecai,2017,
Aedes albopictus,NA,TFD,Briere,4.88E-02,8.02E+00,3.57E+01,Mordecai,2017,
Aedes aegypti,DENV,b,Briere,8.33E-04,1.72E+01,3.58E+01,Mordecai,2019,
Aedes albopictus,DENV,b,Briere,7.23E-04,1.60E+01,3.63E+01,Mordecai,2019,
Aedes aegypti,ZIKV,b,Briere,3.44E-03,2.29E+01,3.84E+01,Mordecai,2019,
Culex quinquefasciatus,NA,Biting rate,Briere,7.28E-05,3.10E+00,3.93E+01,Mordecai,2019,
Aedes aegypti,NA,BitingRate,Briere,2.02E-04,13.8,40,Mordecai,2019,
Aedes albopictus,NA,BitingRate,Briere,1.90E-04,10.4,38.1,Mordecai,2019,
Aedes aegypti,DENV,c,Briere,4.88E-04,12.7,37.4,Mordecai,2019,
Aedes albopictus,DENV,c,Briere,4.33E-04,2.8,36.7,Mordecai,2019,
Aedes aegypti,NA,EFD,Briere,8.16E-03,14.7,34.4,Mordecai,2019,
Aedes albopictus,NA,EFD,Briere,4.77E-02,7.9,35.6,Mordecai,2019,
Culex quinquefasciatus,NA,EV,Briere,4.70E-04,1.36E+01,3.80E+01,Mordecai,2019,probability of egg hatching to larva
Aedes aegypti,NA,MDR,Briere,7.83E-05,11.6,39.1,Mordecai,2019,
Aedes albopictus,NA,MDR,Briere,6.33E-05,8.7,39.6,Mordecai,2019,
Culex quinquefasciatus,NA,MDR,Briere,4.14E-05,1.00E-01,3.86E+01,Mordecai,2019,
Aedes aegypti,DENV,PDR,Briere,6.13E-05,10.3,45.6,Mordecai,2019,
Anopheles spp.,P.fal.,PDR,Briere,1.06E-04,14.1,34.2,Mordecai,2019,
Culex quinquefasciatus,WNV,PDR,Briere,7.12E-05,19,44.1,Mordecai,2019,
Aedes aegypti,ZIKV,PDR,Briere,1.68E-04,19.7,42.5,Mordecai,2019,
Culex quinquefasciatus,NA,pO,Briere,6.67E-04,1.70E+00,3.18E+01,Mordecai,2019,proportion ovipositing?
Culex quinquefasciatus,NA,BitingRate,Briere,7.28E-05,3.1,39.3,Shocket,2020,
Culex annulirostris,NA,BitingRate,Briere,1.26E-04,4.00E+00,3.91E+01,Shocket,2.02E+03,
Culex quinquefasciatus,NA,EV,Briere,4.70E-04,13.6,38,Shocket,2020,
Culex quinquefasciatus,NA,MDR,Briere,4.14E-05,0.1,38.6,Shocket,2020,
Culex annulirostris,NA,MDR,Briere,6.86E-05,1.11E+01,3.92E+01,Shocket,2.02E+03,
Aedes spp.,NA,MDR,Briere,7.06E0-5,9.60E+00,3.89E+01,Shocket,2.02E+03,
Aedes spp.,DENV,PDR,Briere,1.05E-04,1.44E+01,4.19E+01,Shocket,2.02E+03,
Aedes Vigilax,RRV,PDR,Briere,1.38E-04,6.30E+00,4.11E+01,Shocket,2.02E+03,
Culex quinquefasciatus,WNV,PDR,Briere,7.12E-05,19,44.1,Shocket,2020,
Culex quinquefasciatus,NA,pO,Briere,6.67E-04,1.7,31.8,Shocket,2020,
Aedes aegypti,ZIKV,PDR,Briere,1.74E-04,18.27,42.31,Tesla,2018,
