"","trait.name","T","trait","mosquito_species","pathogen","lead_author","year"
"1","a",15,0.078125,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"2","a",20,0.15625,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"3","a",23,0.196078,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"4","a",25,0.285714,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"5","a",27,0.30303,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"6","a",29,0.37037,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"7","a",31,0.47619,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"8","a",33,0.416667,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"9","a",35,0.434783,"Anopheles pseudopunctipennis","none","Mordecai","2013"
"10","bc",32,0,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"11","bc",30,78,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"12","bc",28,73,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"13","bc",26,100,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"14","bc",23.5,79,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"15","bc",22.5,89,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"16","bc",16,100,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"17","bc",13,0,"Anopheles quadrimaculatus","Plasmodium vivax","Mordecai","2013"
"18","EIP",23,15,"Anopheles stephensi","Plasmodium falciparum","Mordecai","2013"
"19","EIP",26,11,"Anopheles stephensi","Plasmodium falciparum","Mordecai","2013"
"20","EIP",28,9,"Anopheles stephensi","Plasmodium falciparum","Mordecai","2013"
"21","EIP",21.1,14,"Anopheles culicifacies","Plasmodium falciparum and plasmodium vivax","Mordecai","2013"
"22","EIP",26.7,12,"Anopheles culicifacies","Plasmodium falciparum and plasmodium vivax","Mordecai","2013"
"23","EIP",25,10,"Anopheles atroparvus","Plasmodium vivax and plasmodium malarie and plasmodium ovale","Mordecai","2013"
"24","EIP",21.1,14,"Anopheles stephensi","Plasmodium vivax and plasmodium malarie and plasmodium falciparum","Mordecai","2013"
"25","EIP",26.7,10,"Anopheles stephensi","Plasmodium vivax and plasmodium malarie and plasmodium falciparum","Mordecai","2013"
"26","EIP",32.2,9,"Anopheles stephensi","Plasmodium vivax and plasmodium malarie and plasmodium falciparum","Mordecai","2013"
"27","EIP",27,13,"Anopheles gambiae","Plasmodium falciparum","Mordecai","2013"
"28","EIP",22,22,"Anopheles quadrimaculatus","Plasmodium malariae","Mordecai","2013"
"29","EIP",15.3,0,"Anopheles culicifacies","Plasmodium falciparum and plasmodium vivax","Mordecai","2013"
"30","EIP",34.4,0,"Anopheles culicifacies","Plasmodium falciparum and plasmodium vivax","Mordecai","2013"
"31","pEA",16,0,"Anopheles gambiae","none","Mordecai","2013"
"32","pEA",18,0.42,"Anopheles gambiae","none","Mordecai","2013"
"33","pEA",20,0.7,"Anopheles gambiae","none","Mordecai","2013"
"34","pEA",22,0.76,"Anopheles gambiae","none","Mordecai","2013"
"35","pEA",24,0.787,"Anopheles gambiae","none","Mordecai","2013"
"36","pEA",26,0.727,"Anopheles gambiae","none","Mordecai","2013"
"37","pEA",28,0.66,"Anopheles gambiae","none","Mordecai","2013"
"38","pEA",30,0.273,"Anopheles gambiae","none","Mordecai","2013"
"39","pEA",32,0.347,"Anopheles gambiae","none","Mordecai","2013"
