trait.name,T,trait,system_ID,mosquito_species,pathogen,lead_author,year,final.trait,transform,trait.from
a,15,0.078125,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,20,0.15625,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,23,0.196078,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,25,0.285714,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,27,0.30303,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,29,0.37037,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,31,0.47619,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,33,0.416667,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
a,35,0.434783,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,a,Identity,a
bc,32,0,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,30,0.78,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,28,0.73,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,26,1,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,23.5,0.79,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,22.5,0.89,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,16,1,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
bc,13,0,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,bc,Identity,bc
PDR,23,0.06666666666666667,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,26,0.09090909090909091,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,28,0.1111111111111111,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,21.1,0.07142857142857142,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,26.7,0.08333333333333333,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,25,0.1,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,21.1,0.07142857142857142,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,26.7,0.1,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,32.2,0.1111111111111111,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,27,0.07692307692307693,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,22,0.045454545454545456,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,15.3,0,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
PDR,34.4,0,Anopheles spp. / Plasmodium spp.,Anopheles spp.,Plasmodium spp.,Mordecai,2013,PDR,Inverse,EIP
e2a,16,0,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,18,0.42,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,20,0.7,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,22,0.76,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,24,0.787,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,26,0.727,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,28,0.66,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,30,0.273,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,32,0.347,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
e2a,34,0,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,e2a,Identity,pEA
MDR,16,0,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,18,0.042918,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,20,0.04902,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
MDR,22,0.057143,Anopheles spp. / none,Anopheles spp.,none,Mordecai,2013,MDR,Identity,MDR
